ship_date,region,shipments,avg_delivery_days,sla_breaches
2026-01-08,North,43,2.77,8
2026-01-08,North-West,61,2.83,5
2026-01-08,South,43,2.67,2
2026-01-08,West,32,2.65,2
2026-01-09,East,30,2.63,6
2026-01-09,North,29,2.73,1
2026-01-09,North-West,74,2.42,5
2026-01-09,South,48,2.62,6
2026-01-09,West,31,2.91,8
2026-01-10,East,29,2.49,2
2026-01-10,North,38,2.64,1
2026-01-10,North-West,62,2.78,5
2026-01-10,South,44,2.54,3
2026-01-10,West,28,2.73,1
2026-01-11,East,27,2.7,3
2026-01-11,North,38,2.53,3
2026-01-11,North-West,58,2.55,4
2026-01-11,South,51,2.64,1
2026-01-11,West,29,2.43,1
2026-01-12,East,22,2.7,1
2026-01-12,North,54,2.68,7
2026-01-12,North-West,45,2.66,2
2026-01-12,South,47,2.56,2
2026-01-12,West,39,2.37,4
2026-01-13,East,27,2.75,0
2026-01-13,North,37,2.65,2
2026-01-13,North-West,69,2.23,6
2026-01-13,South,45,2.71,4
2026-01-13,West,37,2.67,4
2026-01-14,East,19,2.52,4
2026-01-14,North,31,2.44,1
2026-01-14,North-West,58,2.82,2
2026-01-14,South,54,2.7,2
2026-01-14,West,40,2.58,2
2026-01-15,East,25,2.21,2
2026-01-15,North,38,2.62,2
2026-01-15,North-West,53,2.44,1
2026-01-15,South,46,2.58,4
2026-01-15,West,34,2.9,2
2026-01-16,East,25,2.61,1
2026-01-16,North,35,2.51,2
2026-01-16,North-West,60,2.87,10
2026-01-16,South,56,2.34,5
2026-01-16,West,41,2.42,4
2026-01-17,East,30,2.76,0
2026-01-17,North,26,2.43,1
2026-01-17,North-West,76,2.7,7
2026-01-17,South,43,2.86,6
2026-01-17,West,41,2.57,2
2026-01-18,East,25,2.71,2
2026-01-18,North,38,2.59,4
2026-01-18,North-West,68,2.48,5
2026-01-18,South,52,2.68,3
2026-01-18,West,27,2.52,2
2026-01-19,East,24,2.44,1
2026-01-19,North,46,2.68,4
2026-01-19,North-West,62,2.61,5
2026-01-19,South,48,2.46,5
2026-01-19,West,39,2.56,2
2026-01-20,East,24,2.52,4
2026-01-20,North,37,2.47,6
2026-01-20,North-West,69,2.68,3
2026-01-20,South,56,2.62,2
2026-01-20,West,32,2.49,2
2026-01-21,East,27,2.58,4
2026-01-21,North,34,2.82,1
2026-01-21,North-West,64,2.45,6
2026-01-21,South,40,2.57,1
2026-01-21,West,38,2.55,3
2026-01-22,East,23,2.45,1
2026-01-22,North,40,2.84,5
2026-01-22,North-West,72,2.53,6
2026-01-22,South,52,2.64,3
2026-01-22,West,34,2.44,2
2026-01-23,East,25,2.77,1
2026-01-23,North,35,2.5,5
2026-01-23,North-West,74,2.65,7
2026-01-23,South,37,2.61,4
2026-01-23,West,32,2.97,1
2026-01-24,East,24,2.7,1
2026-01-24,North,40,2.43,4
2026-01-24,North-West,64,2.5,2
2026-01-24,South,45,2.79,1
2026-01-24,West,42,2.35,2
2026-01-25,East,24,2.36,2
2026-01-25,North,31,2.85,4
2026-01-25,North-West,62,2.62,6
2026-01-25,South,58,2.61,4
2026-01-25,West,44,2.58,1
2026-01-26,East,28,2.49,1
2026-01-26,North,35,2.87,3
2026-01-26,North-West,69,2.66,3
2026-01-26,South,37,2.35,5
2026-01-26,West,37,2.47,4
2026-01-27,East,29,2.56,1
2026-01-27,North,28,2.54,5
2026-01-27,North-West,67,2.58,4
2026-01-27,South,61,2.46,3
2026-01-27,West,34,2.47,1
2026-01-28,East,24,2.29,2
2026-01-28,North,42,2.69,3
2026-01-28,North-West,53,2.66,3
2026-01-28,South,42,2.62,3
2026-01-28,West,40,2.88,1
2026-01-29,East,17,2.53,2
2026-01-29,North,42,2.42,4
2026-01-29,North-West,51,2.6,4
2026-01-29,South,44,2.59,2
2026-01-29,West,45,2.8,3
2026-01-30,East,27,2.58,0
2026-01-30,North,40,2.56,4
2026-01-30,North-West,63,2.54,5
2026-01-30,South,51,2.76,2
2026-01-30,West,38,2.6,2
2026-01-31,East,26,2.53,2
2026-01-31,North,52,2.46,5
2026-01-31,North-West,56,2.59,1
2026-01-31,South,46,2.8,3
2026-01-31,West,39,2.7,3
2026-02-01,East,22,2.4,1
2026-02-01,North,39,2.62,1
2026-02-01,North-West,72,2.48,9
2026-02-01,South,57,2.78,6
2026-02-01,West,45,2.53,4
2026-02-02,East,19,2.45,0
2026-02-02,North,41,2.64,4
2026-02-02,North-West,59,2.28,5
2026-02-02,South,61,2.59,4
2026-02-02,West,40,2.63,2
2026-02-03,East,29,2.57,3
2026-02-03,North,33,2.58,4
2026-02-03,North-West,60,2.69,2
2026-02-03,South,44,2.74,3
2026-02-03,West,41,2.44,4
2026-02-04,East,27,2.67,0
2026-02-04,North,43,2.54,4
2026-02-04,North-West,60,2.47,9
2026-02-04,South,46,2.84,6
2026-02-04,West,48,2.54,4
2026-02-05,East,39,2.25,1
2026-02-05,North,28,2.6,2
2026-02-05,North-West,59,2.62,6
2026-02-05,South,53,2.43,4
2026-02-05,West,47,2.41,2
2026-02-06,East,20,2.62,1
2026-02-06,North,41,2.47,0
2026-02-06,North-West,73,2.58,4
2026-02-06,South,37,2.84,2
2026-02-06,West,38,2.66,4
2026-02-07,East,24,2.52,1
2026-02-07,North,39,2.74,4
2026-02-07,North-West,75,2.4,4
2026-02-07,South,51,2.52,8
2026-02-07,West,27,2.64,2
2026-02-08,East,20,2.68,2
2026-02-08,North,29,2.62,2
2026-02-08,North-West,52,2.53,3
2026-02-08,South,46,2.42,3
2026-02-08,West,42,2.58,3
2026-02-09,East,29,2.71,0
2026-02-09,North,31,2.76,3
2026-02-09,North-West,74,2.82,6
2026-02-09,South,58,2.54,2
2026-02-09,West,37,2.41,3
2026-02-10,East,23,2.64,2
2026-02-10,North,34,2.49,2
2026-02-10,North-West,68,2.58,7
2026-02-10,South,39,2.66,4
2026-02-10,West,42,2.69,4
2026-02-11,East,28,2.8,1
2026-02-11,North,46,2.58,5
2026-02-11,North-West,64,2.76,7
2026-02-11,South,41,2.46,5
2026-02-11,West,42,2.45,5
2026-02-12,East,36,2.89,5
2026-02-12,North,30,2.55,2
2026-02-12,North-West,68,2.47,10
2026-02-12,South,64,2.51,5
2026-02-12,West,43,2.66,3
2026-02-13,East,24,2.51,3
2026-02-13,North,49,2.65,5
2026-02-13,North-West,70,2.38,5
2026-02-13,South,40,2.64,2
2026-02-13,West,38,2.47,7
2026-02-14,East,25,2.53,3
2026-02-14,North,52,2.63,6
2026-02-14,North-West,63,2.69,5
2026-02-14,South,46,2.49,4
2026-02-14,West,39,2.84,2
2026-02-15,East,28,2.71,3
2026-02-15,North,41,2.8,1
2026-02-15,North-West,63,2.51,4
2026-02-15,South,35,2.54,2
2026-02-15,West,36,2.38,5
2026-02-16,East,33,2.57,4
2026-02-16,North,50,2.6,5
2026-02-16,North-West,72,2.62,5
2026-02-16,South,62,2.49,1
2026-02-16,West,33,2.32,3
2026-02-17,East,27,2.6,1
2026-02-17,North,27,2.45,4
2026-02-17,North-West,67,2.85,5
2026-02-17,South,41,2.26,2
2026-02-17,West,41,2.52,6
2026-02-18,East,27,2.23,2
2026-02-18,North,41,2.77,2
2026-02-18,North-West,81,2.38,4
2026-02-18,South,46,2.54,3
2026-02-18,West,30,2.68,3
2026-02-19,East,28,2.72,3
2026-02-19,North,36,2.55,1
2026-02-19,North-West,69,2.46,4
2026-02-19,South,39,2.49,4
2026-02-19,West,37,2.62,3
2026-02-20,East,22,2.53,2
2026-02-20,North,42,2.55,3
2026-02-20,North-West,63,2.42,6
2026-02-20,South,44,2.34,5
2026-02-20,West,38,2.79,3
2026-02-21,East,33,2.76,3
2026-02-21,North,36,2.33,4
2026-02-21,North-West,83,2.57,6
2026-02-21,South,53,2.6,4
2026-02-21,West,46,2.59,2
2026-02-22,East,38,2.52,5
2026-02-22,North,44,2.39,4
2026-02-22,North-West,75,2.37,5
2026-02-22,South,49,2.61,8
2026-02-22,West,28,2.62,4
2026-02-23,East,26,2.65,2
2026-02-23,North,40,2.65,8
2026-02-23,North-West,68,2.57,6
2026-02-23,South,51,2.87,6
2026-02-23,West,33,2.72,2
2026-02-24,East,35,2.67,1
2026-02-24,North,42,2.79,6
2026-02-24,North-West,77,2.57,5
2026-02-24,South,52,2.63,2
2026-02-24,West,38,2.63,3
2026-02-25,East,21,2.57,3
2026-02-25,North,37,2.4,3
2026-02-25,North-West,55,2.69,3
2026-02-25,South,41,2.48,3
2026-02-25,West,38,2.63,4
2026-02-26,East,23,2.76,2
2026-02-26,North,42,2.35,4
2026-02-26,North-West,67,2.49,7
2026-02-26,South,52,2.71,4
2026-02-26,West,45,2.65,2
2026-02-27,East,26,2.39,3
2026-02-27,North,27,2.33,3
2026-02-27,North-West,64,2.6,7
2026-02-27,South,42,2.53,2
2026-02-27,West,28,2.64,0
2026-02-28,East,23,2.63,0
2026-02-28,North,39,2.75,3
2026-02-28,North-West,51,2.69,7
2026-02-28,South,44,2.75,1
2026-02-28,West,36,2.61,4
2026-03-01,East,29,2.62,5
2026-03-01,North,42,2.61,5
2026-03-01,North-West,70,2.43,5
2026-03-01,South,48,2.45,5
2026-03-01,West,31,2.66,3
2026-03-02,East,32,2.79,1
2026-03-02,North,33,2.6,4
2026-03-02,North-West,66,2.63,3
2026-03-02,South,64,2.54,10
2026-03-02,West,45,2.49,5
2026-03-03,East,25,2.2,1
2026-03-03,North,39,2.63,3
2026-03-03,North-West,62,2.66,6
2026-03-03,South,38,2.37,3
2026-03-03,West,43,2.35,4
2026-03-04,East,24,2.63,2
2026-03-04,North,37,2.74,2
2026-03-04,North-West,62,2.8,3
2026-03-04,South,52,2.57,3
2026-03-04,West,30,2.64,3
2026-03-05,East,24,2.48,3
2026-03-05,North,38,2.74,3
2026-03-05,North-West,63,2.7,9
2026-03-05,South,60,2.68,6
2026-03-05,West,34,2.68,2
2026-03-06,East,23,2.57,1
2026-03-06,North,31,2.77,1
2026-03-06,North-West,56,2.46,3
2026-03-06,South,49,2.49,2
2026-03-06,West,28,2.47,1
2026-03-07,East,29,2.59,2
2026-03-07,North,29,2.59,6
2026-03-07,North-West,74,2.57,8
2026-03-07,South,34,2.36,4
2026-03-07,West,30,2.42,3
2026-03-08,East,29,2.65,3
2026-03-08,North,46,2.78,6
2026-03-08,North-West,54,2.56,8
2026-03-08,South,38,2.66,3
2026-03-08,West,38,2.68,3
2026-03-09,East,23,2.6,1
2026-03-09,North,35,2.45,2
2026-03-09,North-West,66,2.66,10
2026-03-09,South,31,2.51,1
2026-03-09,West,31,2.58,3
2026-03-10,East,18,2.37,0
2026-03-10,North,40,2.71,3
2026-03-10,North-West,80,2.71,10
2026-03-10,South,45,2.6,4
2026-03-10,West,42,2.56,2
2026-03-11,East,32,2.68,2
2026-03-11,North,36,2.81,3
2026-03-11,North-West,63,2.51,8
2026-03-11,South,47,2.41,7
2026-03-11,West,38,2.84,2
2026-03-12,East,26,2.54,3
2026-03-12,North,45,2.4,4
2026-03-12,North-West,60,2.67,5
2026-03-12,South,39,2.89,3
2026-03-12,West,42,2.59,1
2026-03-13,East,26,2.49,0
2026-03-13,North,46,2.53,4
2026-03-13,North-West,67,2.44,7
2026-03-13,South,49,2.71,6
2026-03-13,West,46,2.52,4
2026-03-14,East,34,2.57,0
2026-03-14,North,41,2.45,4
2026-03-14,North-West,62,2.66,5
2026-03-14,South,40,2.94,2
2026-03-14,West,41,2.52,4
2026-03-15,East,27,2.43,5
2026-03-15,North,38,2.71,4
2026-03-15,North-West,57,2.69,5
2026-03-15,South,44,2.49,4
2026-03-15,West,37,2.59,2
2026-03-16,East,24,2.84,3
2026-03-16,North,35,2.6,0
2026-03-16,North-West,68,2.56,6
2026-03-16,South,58,2.55,5
2026-03-16,West,35,2.22,3
2026-03-17,East,24,2.38,2
2026-03-17,North,36,2.49,5
2026-03-17,North-West,55,2.42,6
2026-03-17,South,49,2.52,5
2026-03-17,West,36,2.74,1
2026-03-18,East,28,2.76,4
2026-03-18,North,40,2.85,4
2026-03-18,North-West,56,2.41,4
2026-03-18,South,53,2.82,6
2026-03-18,West,49,2.54,4
2026-03-19,East,25,2.63,2
2026-03-19,North,32,2.51,4
2026-03-19,North-West,75,2.57,3
2026-03-19,South,53,2.6,5
2026-03-19,West,40,2.51,4
2026-03-20,East,30,2.49,5
2026-03-20,North,32,2.38,2
2026-03-20,North-West,50,2.61,5
2026-03-20,South,44,2.85,3
2026-03-20,West,34,2.69,2
2026-03-21,East,24,2.53,4
2026-03-21,North,42,2.53,4
2026-03-21,North-West,74,2.58,3
2026-03-21,South,50,2.78,0
2026-03-21,West,40,3.06,3
2026-03-22,East,28,2.76,2
2026-03-22,North,31,2.66,0
2026-03-22,North-West,58,2.4,6
2026-03-22,South,53,2.3,4
2026-03-22,West,39,2.51,3
2026-03-23,East,18,2.78,0
2026-03-23,North,46,2.52,4
2026-03-23,North-West,63,2.69,4
2026-03-23,South,46,2.51,4
2026-03-23,West,39,2.44,6
2026-03-24,East,13,2.76,1
2026-03-24,North,33,2.73,2
2026-03-24,North-West,69,2.63,5
2026-03-24,South,54,2.58,3
2026-03-24,West,42,2.32,4
2026-03-25,East,19,2.63,2
2026-03-25,North,36,2.39,4
2026-03-25,North-West,59,2.95,6
2026-03-25,South,54,2.67,2
2026-03-25,West,48,2.89,3
2026-03-26,East,31,2.72,2
2026-03-26,North,48,2.57,1
2026-03-26,North-West,66,2.71,5
2026-03-26,South,46,2.66,3
2026-03-26,West,40,2.35,1
2026-03-27,East,25,2.57,2
2026-03-27,North,40,2.55,3
2026-03-27,North-West,57,2.55,6
2026-03-27,South,55,2.45,2
2026-03-27,West,52,2.79,8
2026-03-28,East,26,2.72,2
2026-03-28,North,35,2.69,1
2026-03-28,North-West,67,2.56,6
2026-03-28,South,49,2.33,2
2026-03-28,West,36,2.48,2
2026-03-29,East,19,2.66,1
2026-03-29,North,37,2.88,1
2026-03-29,North-West,66,2.39,5
2026-03-29,South,56,2.73,5
2026-03-29,West,43,2.74,6
2026-03-30,East,23,2.38,1
2026-03-30,North,32,2.58,0
2026-03-30,North-West,57,2.45,5
2026-03-30,South,47,2.63,6
2026-03-30,West,38,2.68,2
2026-03-31,East,16,2.64,0
2026-03-31,North,35,2.4,5
2026-03-31,North-West,70,2.58,9
2026-03-31,South,38,2.67,7
2026-03-31,West,33,2.57,3
2026-04-01,East,24,2.41,2
2026-04-01,North,39,2.83,4
2026-04-01,North-West,56,2.6,2
2026-04-01,South,53,2.39,8
2026-04-01,West,42,2.87,3
2026-04-02,East,18,2.46,2
2026-04-02,North,35,2.68,1
2026-04-02,North-West,69,2.69,5
2026-04-02,South,46,2.88,6
2026-04-02,West,24,2.61,2
2026-04-03,East,29,2.42,2
2026-04-03,North,28,2.62,7
2026-04-03,North-West,71,2.46,6
2026-04-03,South,49,2.36,8
2026-04-03,West,37,2.72,5
2026-04-04,East,27,2.67,2
2026-04-04,North,41,2.56,2
2026-04-04,North-West,63,2.77,6
2026-04-04,South,48,2.5,3
2026-04-04,West,33,2.66,3
2026-04-05,East,24,2.54,4
2026-04-05,North,35,2.52,0
2026-04-05,North-West,50,2.53,7
2026-04-05,South,62,2.48,5
2026-04-05,West,31,2.5,0
2026-04-06,East,18,2.36,0
2026-04-06,North,41,2.61,5
2026-04-06,North-West,72,2.48,7
2026-04-06,South,46,2.58,3
2026-04-06,West,40,2.62,1
2026-04-07,East,24,2.47,2
2026-04-07,North,28,2.66,1
2026-04-07,North-West,67,2.51,4
2026-04-07,South,44,2.77,3
2026-04-07,West,37,2.33,3
2026-04-08,East,28,2.37,2
2026-04-08,North,26,2.65,2
2026-04-08,North-West,65,2.67,5
2026-04-08,South,55,2.59,5
2026-04-08,West,39,2.92,3
2026-04-09,East,27,2.64,2
2026-04-09,North,37,2.58,2
2026-04-09,North-West,63,2.48,2
2026-04-09,South,59,2.82,8
2026-04-09,West,33,2.51,3
2026-04-10,East,17,2.38,2
2026-04-10,North,29,2.62,1
2026-04-10,North-West,49,2.71,3
2026-04-10,South,47,2.7,3
2026-04-10,West,38,2.58,3
2026-04-11,East,23,2.64,1
2026-04-11,North,27,2.51,2
2026-04-11,North-West,72,2.5,8
2026-04-11,South,46,2.4,7
2026-04-11,West,42,2.47,3
2026-04-12,East,20,2.4,3
2026-04-12,North,29,2.76,1
2026-04-12,North-West,66,2.76,5
2026-04-12,South,46,2.83,5
2026-04-12,West,38,2.5,5
2026-04-13,East,24,2.36,1
2026-04-13,North,37,2.61,0
2026-04-13,North-West,50,2.68,3
2026-04-13,South,44,2.8,3
2026-04-13,West,43,2.71,2
2026-04-14,East,22,2.65,1
2026-04-14,North,49,3.1,3
2026-04-14,North-West,63,2.75,7
2026-04-14,South,49,2.52,3
2026-04-14,West,42,2.37,1
2026-04-15,East,24,2.59,1
2026-04-15,North,44,2.27,2
2026-04-15,North-West,65,2.53,2
2026-04-15,South,50,2.6,3
2026-04-15,West,32,2.46,0
2026-04-16,East,34,2.82,3
2026-04-16,North,45,2.71,5
2026-04-16,North-West,69,2.63,13
2026-04-16,South,45,2.66,3
2026-04-16,West,44,2.6,4
2026-04-17,East,23,2.62,5
2026-04-17,North,35,2.65,1
2026-04-17,North-West,67,2.7,2
2026-04-17,South,50,2.58,7
2026-04-17,West,35,2.68,4
2026-04-18,East,24,2.36,0
2026-04-18,North,35,2.53,3
2026-04-18,North-West,60,2.41,3
2026-04-18,South,51,2.6,9
2026-04-18,West,43,2.8,5
2026-04-19,East,34,2.65,2
2026-04-19,North,27,2.38,3
2026-04-19,North-West,73,2.71,8
2026-04-19,South,43,2.53,3
2026-04-19,West,33,2.39,3
2026-04-20,East,27,2.6,2
2026-04-20,North,35,2.61,0
2026-04-20,North-West,73,2.81,5
2026-04-20,South,60,2.72,4
2026-04-20,West,45,2.6,3
2026-04-21,East,25,2.82,3
2026-04-21,North,47,2.72,7
2026-04-21,North-West,72,2.54,6
2026-04-21,South,57,2.67,5
2026-04-21,West,35,2.38,4
2026-04-22,East,28,2.71,4
2026-04-22,North,39,2.87,1
2026-04-22,North-West,61,2.47,4
2026-04-22,South,36,2.47,0
2026-04-22,West,34,2.76,2
2026-04-23,East,25,2.52,3
2026-04-23,North,45,2.63,1
2026-04-23,North-West,71,2.66,5
2026-04-23,South,44,2.68,5
2026-04-23,West,40,2.45,1
2026-04-24,East,32,2.57,2
2026-04-24,North,31,2.76,2
2026-04-24,North-West,72,2.84,9
2026-04-24,South,52,2.34,8
2026-04-24,West,43,2.47,2
2026-04-25,East,28,2.81,3
2026-04-25,North,29,2.58,1
2026-04-25,North-West,55,2.33,6
2026-04-25,South,50,2.77,8
2026-04-25,West,29,2.52,1
2026-04-26,East,30,2.44,2
2026-04-26,North,34,2.73,5
2026-04-26,North-West,74,2.41,5
2026-04-26,South,45,2.9,9
2026-04-26,West,41,2.85,4
2026-04-27,East,17,2.76,0
2026-04-27,North,34,2.63,4
2026-04-27,North-West,72,2.63,3
2026-04-27,South,48,2.88,1
2026-04-27,West,30,2.84,2
2026-04-28,East,21,2.88,3
2026-04-28,North,40,2.47,3
2026-04-28,North-West,74,2.35,4
2026-04-28,South,39,2.69,2
2026-04-28,West,39,2.54,2
2026-04-29,East,35,2.81,3
2026-04-29,North,28,2.45,0
2026-04-29,North-West,69,2.49,6
2026-04-29,South,49,2.61,4
2026-04-29,West,26,2.78,4
2026-04-30,East,23,2.77,1
2026-04-30,North,26,2.38,2
2026-04-30,North-West,60,2.5,6
2026-04-30,South,50,2.66,5
2026-04-30,West,42,2.66,5
2026-05-01,East,29,2.46,4
2026-05-01,North,41,2.56,4
2026-05-01,North-West,75,2.46,4
2026-05-01,South,48,2.32,6
2026-05-01,West,43,2.44,4
2026-05-02,East,31,2.67,1
2026-05-02,North,39,2.71,1
2026-05-02,North-West,71,2.26,1
2026-05-02,South,52,2.67,6
2026-05-02,West,52,2.42,5
2026-05-03,East,30,2.67,1
2026-05-03,North,34,2.58,4
2026-05-03,North-West,71,2.73,3
2026-05-03,South,45,2.7,1
2026-05-03,West,48,2.27,3
2026-05-04,East,23,2.6,3
2026-05-04,North,40,2.62,2
2026-05-04,North-West,40,2.48,5
2026-05-04,South,52,2.55,2
2026-05-04,West,38,2.73,3
2026-05-05,East,27,2.66,0
2026-05-05,North,33,2.31,0
2026-05-05,North-West,65,2.5,3
2026-05-05,South,52,2.65,2
2026-05-05,West,34,2.66,2
2026-05-06,East,29,2.64,1
2026-05-06,North,41,2.73,8
2026-05-06,North-West,78,2.67,5
2026-05-06,South,56,2.54,5
2026-05-06,West,38,2.68,1
2026-05-07,East,25,2.54,0
2026-05-07,North,39,2.37,1
2026-05-07,North-West,71,2.4,9
2026-05-07,South,47,2.54,3
2026-05-07,West,32,2.6,5
2026-05-08,East,25,2.63,1
2026-05-08,North,39,2.4,4
2026-05-08,North-West,63,2.6,2
2026-05-08,South,49,2.69,3
2026-05-08,West,32,2.66,2
2026-05-09,East,28,2.76,2
2026-05-09,North,32,2.62,2
2026-05-09,North-West,69,2.77,6
2026-05-09,South,50,2.48,6
2026-05-09,West,41,2.54,2
2026-05-10,East,26,2.73,1
2026-05-10,North,51,2.64,2
2026-05-10,North-West,74,2.58,7
2026-05-10,South,55,2.57,3
2026-05-10,West,26,2.76,4
2026-05-11,East,27,2.63,0
2026-05-11,North,48,2.5,5
2026-05-11,North-West,68,2.56,4
2026-05-11,South,56,2.47,2
2026-05-11,West,31,2.6,3
2026-05-12,East,33,2.49,3
2026-05-12,North,42,2.65,1
2026-05-12,North-West,75,2.54,8
2026-05-12,South,50,2.84,2
2026-05-12,West,35,2.59,3
2026-05-13,East,20,2.34,4
2026-05-13,North,28,2.7,5
2026-05-13,North-West,62,2.58,10
2026-05-13,South,45,2.73,1
2026-05-13,West,38,2.6,5
2026-05-14,East,13,2.49,2
2026-05-14,North,34,2.74,1
2026-05-14,North-West,84,2.54,11
2026-05-14,South,53,2.73,1
2026-05-14,West,36,2.72,0
2026-05-15,East,19,2.46,0
2026-05-15,North,43,2.61,1
2026-05-15,North-West,74,2.54,7
2026-05-15,South,48,2.45,3
2026-05-15,West,31,2.63,6
2026-05-16,East,23,2.62,3
2026-05-16,North,30,2.61,1
2026-05-16,North-West,72,2.47,3
2026-05-16,South,64,2.66,7
2026-05-16,West,33,2.57,2
2026-05-17,East,35,2.52,2
2026-05-17,North,37,2.51,5
2026-05-17,North-West,53,2.7,4
2026-05-17,South,44,2.52,5
2026-05-17,West,26,2.46,3
2026-05-18,East,19,2.67,1
2026-05-18,North,36,2.57,5
2026-05-18,North-West,57,2.44,6
2026-05-18,South,44,2.78,3
2026-05-18,West,38,2.67,2
2026-05-19,East,22,2.27,1
2026-05-19,North,39,2.64,1
2026-05-19,North-West,74,2.37,7
2026-05-19,South,38,2.75,2
2026-05-19,West,36,2.65,2
2026-05-20,East,29,2.66,2
2026-05-20,North,41,2.79,5
2026-05-20,North-West,65,2.72,6
2026-05-20,South,40,2.57,6
2026-05-20,West,41,2.59,5
2026-05-21,East,35,2.62,2
2026-05-21,North,52,2.43,2
2026-05-21,North-West,65,2.42,4
2026-05-21,South,48,2.18,7
2026-05-21,West,51,2.78,2
2026-05-22,East,24,2.5,3
2026-05-22,North,42,2.46,2
2026-05-22,North-West,52,2.96,2
2026-05-22,South,46,2.51,4
2026-05-22,West,45,2.74,6
2026-05-23,East,30,2.39,1
2026-05-23,North,32,2.86,5
2026-05-23,North-West,57,2.74,5
2026-05-23,South,37,2.73,5
2026-05-23,West,42,2.41,5
2026-05-24,East,23,2.41,1
2026-05-24,North,32,2.52,6
2026-05-24,North-West,53,2.54,2
2026-05-24,South,46,2.64,3
2026-05-24,West,49,2.71,4
2026-05-25,East,27,2.75,0
2026-05-25,North,37,2.73,3
2026-05-25,North-West,69,2.7,4
2026-05-25,South,55,2.31,6
2026-05-25,West,37,2.65,6
2026-05-26,East,24,2.7,3
2026-05-26,North,38,2.71,4
2026-05-26,North-West,63,2.79,3
2026-05-26,South,37,2.56,3
2026-05-26,West,36,2.82,4
2026-05-27,East,28,2.73,9
2026-05-27,North,48,2.86,5
2026-05-27,North-West,67,2.78,2
2026-05-27,South,56,2.61,6
2026-05-27,West,53,2.61,2
2026-05-28,East,19,2.58,2
2026-05-28,North,37,2.45,6
2026-05-28,North-West,80,2.81,4
2026-05-28,South,42,2.6,3
2026-05-28,West,39,2.47,2
2026-05-29,East,19,2.78,3
2026-05-29,North,40,2.61,2
2026-05-29,North-West,61,2.46,4
2026-05-29,South,40,2.44,4
2026-05-29,West,34,2.6,2
2026-05-30,East,22,2.89,2
2026-05-30,North,31,2.79,1
2026-05-30,North-West,69,2.57,6
2026-05-30,South,51,2.84,1
2026-05-30,West,42,2.44,1
2026-05-31,East,24,2.68,4
2026-05-31,North,28,2.51,0
2026-05-31,North-West,68,2.52,7
2026-05-31,South,56,2.55,4
2026-05-31,West,34,2.28,1
2026-06-01,East,29,2.41,1
2026-06-01,North,32,2.48,6
2026-06-01,North-West,56,2.46,3
2026-06-01,South,47,2.63,6
2026-06-01,West,44,2.51,3
2026-06-02,East,33,2.65,2
2026-06-02,North,46,2.72,5
2026-06-02,North-West,54,2.84,4
2026-06-02,South,50,2.53,6
2026-06-02,West,32,2.34,3
2026-06-03,East,23,2.71,1
2026-06-03,North,37,2.65,2
2026-06-03,North-West,73,2.55,9
2026-06-03,South,50,2.56,3
2026-06-03,West,27,2.58,2
2026-06-04,East,20,2.52,2
2026-06-04,North,45,2.67,3
2026-06-04,North-West,64,2.59,4
2026-06-04,South,51,2.41,8
2026-06-04,West,39,2.81,7
2026-06-05,East,29,2.64,2
2026-06-05,North,27,2.87,0
2026-06-05,North-West,75,2.57,6
2026-06-05,South,51,2.61,3
2026-06-05,West,33,2.57,4
2026-06-06,East,25,2.6,3
2026-06-06,North,30,2.55,3
2026-06-06,North-West,61,2.78,4
2026-06-06,South,65,2.57,6
2026-06-06,West,27,2.48,3
2026-06-07,East,33,2.6,3
2026-06-07,North,50,2.62,4
2026-06-07,North-West,72,2.72,7
2026-06-07,South,44,2.52,6
2026-06-07,West,45,2.7,2
2026-06-08,East,31,2.83,2
2026-06-08,North,43,2.38,3
2026-06-08,North-West,80,2.55,7
2026-06-08,South,46,2.88,10
2026-06-08,West,52,2.83,6
2026-06-09,East,33,2.7,1
2026-06-09,North,32,2.4,2
2026-06-09,North-West,74,2.55,4
2026-06-09,South,48,2.71,1
2026-06-09,West,40,2.66,4
2026-06-10,East,24,2.8,1
2026-06-10,North,46,2.62,2
2026-06-10,North-West,67,2.55,6
2026-06-10,South,33,2.86,4
2026-06-10,West,42,2.63,3
2026-06-11,East,20,2.57,1
2026-06-11,North,36,2.38,1
2026-06-11,North-West,64,2.7,4
2026-06-11,South,41,2.68,0
2026-06-11,West,40,2.67,5
2026-06-12,East,29,2.73,2
2026-06-12,North,42,2.56,2
2026-06-12,North-West,60,2.7,3
2026-06-12,South,43,2.72,5
2026-06-12,West,40,2.59,3
2026-06-13,East,35,2.74,0
2026-06-13,North,30,2.58,2
2026-06-13,North-West,61,2.54,3
2026-06-13,South,54,2.66,6
2026-06-13,West,43,2.58,3
2026-06-14,East,24,2.56,1
2026-06-14,North,32,2.73,3
2026-06-14,North-West,67,2.56,11
2026-06-14,South,46,2.49,3
2026-06-14,West,33,2.27,0
2026-06-15,East,23,2.52,2
2026-06-15,North,36,2.64,0
2026-06-15,North-West,82,2.58,7
2026-06-15,South,54,2.7,4
2026-06-15,West,44,2.55,3
2026-06-16,East,30,2.34,1
2026-06-16,North,37,2.65,2
2026-06-16,North-West,63,2.66,5
2026-06-16,South,48,2.71,4
2026-06-16,West,38,2.63,2
2026-06-17,East,25,2.74,1
2026-06-17,North,36,2.64,5
2026-06-17,North-West,84,2.52,9
2026-06-17,South,46,2.57,2
